vehiculo,gama,lat_actual,lon_actual,electrolinera,lat_electrolinera,lon_electrolinera,distancia_metros,bateria_al_recargar,nodos_recorridos
BYD SEAL 82.5 kWh RWD Design,alta,7.0018139,-73.0576386,Estacion de Servicio Terpel de Piedecuesta,6.998348410998912,-73.05270638323637,923.65,0.1996,5712586
BYD SEAL 82.5 kWh RWD Design,alta,7.0931172,-73.1101618,Centro Comercial Canaveral,7.070722605372017,-73.10545322620052,2603.24,0.2,5715289
BYD SEAL 82.5 kWh RWD Design,alta,7.0368058,-73.0721368,Estacion de Servicio Terpel de Piedecuesta,6.998348410998912,-73.05270638323637,6283.43,0.1999,5718078
BYD SEAL 82.5 kWh RWD Design,alta,7.0883276,-73.1085353,Centro Comercial Canaveral,7.070722605372017,-73.10545322620052,2162.06,0.2,5720705
BYD SEAL 82.5 kWh RWD Design,alta,7.103382,-73.1106076,Centro Comercial Cacique,7.099383171372943,-73.10738728564714,847.74,0.1993,5723322
BYD SEAL 82.5 kWh RWD Design,alta,7.014689,-73.0565963,Estacion de Servicio Terpel de Piedecuesta,6.998348410998912,-73.05270638323637,2211.08,0.1988,5726071
BYD SEAL 82.5 kWh RWD Design,alta,7.0883273,-73.1081166,Centro Comercial Canaveral,7.070722605372017,-73.10545322620052,2359.54,0.1999,5728736
BYD SEAL 82.5 kWh RWD Design,alta,7.0153986,-73.0573508,Estacion de Servicio Terpel de Piedecuesta,6.998348410998912,-73.05270638323637,2048.51,0.1995,5731450
BYD SEAL 82.5 kWh RWD Design,alta,7.1147146,-73.1065908,Centro Comercial Quinta Etapa,7.115473864260488,-73.10771498564486,292.86,0.1999,5734172
BYD SEAL 82.5 kWh RWD Design,alta,7.006575,-73.0558193,Estacion de Servicio Terpel de Piedecuesta,6.998348410998912,-73.05270638323637,3140.55,0.2,5737057
BYD SEAL 82.5 kWh RWD Design,alta,7.0880855,-73.1329901,Promotores del Oriente (vía a Girón),7.085743648912543,-73.16471385719439,4252.83,0.1991,5739593
BYD SEAL 82.5 kWh RWD Design,alta,7.0848415,-73.1080546,Centro Comercial Canaveral,7.070722605372017,-73.10545322620052,1644.32,0.1996,5742090
